host,ip,port,protocol,title,domain,country,city,link,as_organization
https://95.84.210.9,95.84.210.9,443,https,,,RU,Dolgoprudnyy,https://95.84.210.9,Rostelecom
https://178.74.103.14,178.74.103.14,443,https,,,RU,Omsk,https://178.74.103.14,Omskie kabelnye seti Ltd.
https://37.1.11.37,37.1.11.37,443,https,,,RU,Serpukhov,https://37.1.11.37,Rial Com JSC
https://82.149.133.246,82.149.133.246,443,https,,,RU,Murmansk,https://82.149.133.246,PJSC MegaFon
https://46.38.35.92,46.38.35.92,443,https,,,RU,Moscow,https://46.38.35.92,OOO Suntel
https://212.49.107.242,212.49.107.242,443,https,,,RU,Yekaterinburg,https://212.49.107.242,LLC KomTehCentr
https://95.67.178.117,95.67.178.117,443,https,,,RU,Samara,https://95.67.178.117,Rostelecom
https://95.67.178.117,95.67.178.117,443,https,,,RU,Samara,https://95.67.178.117,Rostelecom
https://176.214.96.192,176.214.96.192,443,https,,,RU,Dolgoprudnyy,https://176.214.96.192,JSC ER-Telecom Holding
https://213.27.14.144,213.27.14.144,443,https,,,RU,Rostov-na-Donu,https://213.27.14.144,MTS PJSC
https://82.149.133.246,82.149.133.246,443,https,,,RU,Murmansk,https://82.149.133.246,PJSC MegaFon
https://80.234.22.146,80.234.22.146,443,https,,,RU,Tolyatti,https://80.234.22.146,Rostelecom
https://212.12.18.247:5003,212.12.18.247,5003,https,404 Not Found,,RU,Yefremov,https://212.12.18.247:5003,Rostelecom
https://212.12.18.247:5003,212.12.18.247,5003,https,,,RU,Yefremov,https://212.12.18.247:5003,Rostelecom
https://31.42.223.53:22,31.42.223.53,22,https,,,RU,Konakovo,https://31.42.223.53:22,City-Line Ltd.
https://212.33.245.231,212.33.245.231,443,https,,,RU,Moscow,https://212.33.245.231,JSC ER-Telecom Holding
https://81.95.140.244:5003,81.95.140.244,5003,https,404 Not Found,,RU,Moscow,https://81.95.140.244:5003,JSC Avantel
https://81.95.140.244:5003,81.95.140.244,5003,https,,,RU,Moscow,https://81.95.140.244:5003,JSC Avantel
46.38.35.92:873,46.38.35.92,873,rsync,,,RU,Moscow,,OOO Suntel
https://5.227.209.28:5003,5.227.209.28,5003,https,,,RU,Saratov,https://5.227.209.28:5003,MTS PJSC
https://95.154.87.112:5003,95.154.87.112,5003,https,404 Not Found,,RU,Vladivostok,https://95.154.87.112:5003,Octopusnet LTD
https://95.154.87.112:5003,95.154.87.112,5003,https,,,RU,Vladivostok,https://95.154.87.112:5003,Octopusnet LTD
https://217.25.237.202:5003,217.25.237.202,5003,https,404 Not Found,,RU,Voronezh,https://217.25.237.202:5003,AO IK Informsvyaz-Chernozemye
https://217.25.237.202:5003,217.25.237.202,5003,https,,,RU,Voronezh,https://217.25.237.202:5003,AO IK Informsvyaz-Chernozemye
https://109.169.211.128,109.169.211.128,443,https,,,RU,Tolyatti,https://109.169.211.128,Rostelecom
https://109.169.211.128,109.169.211.128,443,https,,,RU,Tolyatti,https://109.169.211.128,Rostelecom
https://91.202.186.155,91.202.186.155,443,https,,,RU,Podol'sk,https://91.202.186.155,Globalcom Ltd.
https://95.221.7.209,95.221.7.209,443,https,,,RU,Murmansk,https://95.221.7.209,PJSC MegaFon
https://212.12.18.247,212.12.18.247,443,https,,,RU,Yefremov,https://212.12.18.247,Rostelecom
https://95.221.7.209,95.221.7.209,443,https,,,RU,Murmansk,https://95.221.7.209,PJSC MegaFon
https://94.230.3.6:9007,94.230.3.6,9007,https,,,RU,Moscow,https://94.230.3.6:9007,JSC Avantel
https://94.230.3.6:9007,94.230.3.6,9007,https,,,RU,Moscow,https://94.230.3.6:9007,JSC Avantel
https://85.21.54.57:5001,85.21.54.57,5001,https,,,RU,Yaroslavl',https://85.21.54.57:5001,PVimpelCom
https://176.208.76.82:5001,176.208.76.82,5001,https,,,RU,Novosibirsk,https://176.208.76.82:5001,Rostelecom
https://46.138.248.72:5001,46.138.248.72,5001,https,,,RU,Moscow,https://46.138.248.72:5001,PJSC Moscow city telephone network
https://46.138.248.72:5001,46.138.248.72,5001,https,,,RU,Moscow,https://46.138.248.72:5001,PJSC Moscow city telephone network
https://94.229.230.82:5001,94.229.230.82,5001,https,,,RU,Kemerovo,https://94.229.230.82:5001,MTS PJSC
https://195.210.168.126:5001,195.210.168.126,5001,https,,,RU,Moscow,https://195.210.168.126:5001,MTS PJSC
https://176.214.96.192:5001,176.214.96.192,5001,https,,,RU,Dolgoprudnyy,https://176.214.96.192:5001,JSC ER-Telecom Holding
https://176.214.96.192:5001,176.214.96.192,5001,https,,,RU,Dolgoprudnyy,https://176.214.96.192:5001,JSC ER-Telecom Holding
https://217.25.226.95:5003,217.25.226.95,5003,https,404 Not Found,,RU,Voronezh,https://217.25.226.95:5003,AO IK Informsvyaz-Chernozemye
https://217.25.226.95:5003,217.25.226.95,5003,https,,,RU,Voronezh,https://217.25.226.95:5003,AO IK Informsvyaz-Chernozemye
https://95.73.210.45:5001,95.73.210.45,5001,https,,,RU,Krasnoznamensk,https://95.73.210.45:5001,Rostelecom
https://95.73.210.45:5001,95.73.210.45,5001,https,,,RU,Krasnoznamensk,https://95.73.210.45:5001,Rostelecom
https://91.122.62.159:5001,91.122.62.159,5001,https,,,RU,Romanovka,https://91.122.62.159:5001,Rostelecom
https://46.39.30.194:5003,46.39.30.194,5003,https,404 Not Found,,RU,Nizhnevartovsk,https://46.39.30.194:5003,Dancer LLC
https://46.39.30.194:5003,46.39.30.194,5003,https,,,RU,Nizhnevartovsk,https://46.39.30.194:5003,Dancer LLC
https://188.134.71.166:5001,188.134.71.166,5001,https,,,RU,Saint Petersburg,https://188.134.71.166:5001,JSC ER-Telecom Holding
https://188.134.71.166:5001,188.134.71.166,5001,https,,,RU,Saint Petersburg,https://188.134.71.166:5001,JSC ER-Telecom Holding
https://109.68.184.34:8001,109.68.184.34,8001,https,,,RU,Moscow,https://109.68.184.34:8001,OOO Suntel
https://31.128.157.13:5001,31.128.157.13,5001,https,,,RU,Volzhskiy,https://31.128.157.13:5001,LLC Powernet
https://213.170.113.90:5001,213.170.113.90,5001,https,,,RU,Saint Petersburg,https://213.170.113.90:5001,Quantum CJSC
https://217.172.19.192:5001,217.172.19.192,5001,https,,,RU,Moscow,https://217.172.19.192:5001,Invest Mobile LLC
https://217.172.19.192:5001,217.172.19.192,5001,https,,,RU,Moscow,https://217.172.19.192:5001,Invest Mobile LLC
https://37.194.90.108:5001,37.194.90.108,5001,https,,,RU,Novosibirsk,https://37.194.90.108:5001,Novotelecom Ltd
https://78.81.147.119:5001,78.81.147.119,5001,https,,,RU,Saint Petersburg,https://78.81.147.119:5001,Rostelecom
https://78.81.147.119:5001,78.81.147.119,5001,https,,,RU,Saint Petersburg,https://78.81.147.119:5001,Rostelecom
https://80.234.35.3:5001,80.234.35.3,5001,https,,,RU,Samara,https://80.234.35.3:5001,Rostelecom
https://78.81.147.10:5001,78.81.147.10,5001,https,,,RU,Saint Petersburg,https://78.81.147.10:5001,Rostelecom
https://78.81.147.10:5001,78.81.147.10,5001,https,,,RU,Saint Petersburg,https://78.81.147.10:5001,Rostelecom
https://77.232.55.102:5001,77.232.55.102,5001,https,,,RU,Saint Petersburg,https://77.232.55.102:5001,JSC Severen-Telecom
https://77.232.55.102:5001,77.232.55.102,5001,https,,,RU,Saint Petersburg,https://77.232.55.102:5001,JSC Severen-Telecom
https://79.136.225.118:5001,79.136.225.118,5001,https,,,RU,Tomsk,https://79.136.225.118:5001,JSC Neotelecom
https://95.154.87.112:5001,95.154.87.112,5001,https,,,RU,Vladivostok,https://95.154.87.112:5001,Octopusnet LTD
